rank	cluster_1	cluster_2	pair_key	zscore	count
40	Hypothalamus_1	Pyramidal_layer_dentate_gyrus	Hypothalamus_1|Pyramidal_layer_dentate_gyrus	-5.443821279	0
41	Pyramidal_layer	Thalamus_1	Pyramidal_layer|Thalamus_1	-5.476199163	0
42	Cortex_4	Pyramidal_layer_dentate_gyrus	Cortex_4|Pyramidal_layer_dentate_gyrus	-5.7928153	0
43	Cortex_4	Lateral_ventricle	Cortex_4|Lateral_ventricle	-5.822541937	0
44	Cortex_5	Hypothalamus_2	Cortex_5|Hypothalamus_2	-6.08923857	0
45	Pyramidal_layer_dentate_gyrus	Thalamus_2	Pyramidal_layer_dentate_gyrus|Thalamus_2	-6.174705806	0
46	Hippocampus	Hypothalamus_2	Hippocampus|Hypothalamus_2	-6.4099376	13
47	Cortex_2	Cortex_3	Cortex_2|Cortex_3	-6.42183754	67
48	Cortex_5	Striatum	Cortex_5|Striatum	-6.459742262	0
49	Fiber_tract	Pyramidal_layer_dentate_gyrus	Fiber_tract|Pyramidal_layer_dentate_gyrus	-6.522608777	0
50	Hypothalamus_1	Thalamus_2	Hypothalamus_1|Thalamus_2	-6.58144053	29
51	Cortex_2	Pyramidal_layer_dentate_gyrus	Cortex_2|Pyramidal_layer_dentate_gyrus	-6.732259617	0
52	Cortex_3	Pyramidal_layer_dentate_gyrus	Cortex_3|Pyramidal_layer_dentate_gyrus	-6.894849165	0
53	Hypothalamus_2	Striatum	Hypothalamus_2|Striatum	-7.338922255	0
54	Cortex_1	Pyramidal_layer_dentate_gyrus	Cortex_1|Pyramidal_layer_dentate_gyrus	-7.339343697	0
55	Cortex_5	Hippocampus	Cortex_5|Hippocampus	-7.644956916	6
56	Cortex_3	Striatum	Cortex_3|Striatum	-7.662333286	18
57	Cortex_1	Hippocampus	Cortex_1|Hippocampus	-7.759273695	40
58	Cortex_3	Lateral_ventricle	Cortex_3|Lateral_ventricle	-7.7682585	0
59	Cortex_5	Hypothalamus_1	Cortex_5|Hypothalamus_1	-7.91187931	0
60	Cortex_4	Striatum	Cortex_4|Striatum	-7.949562029	0
61	Hippocampus	Striatum	Hippocampus|Striatum	-8.091560933	0
62	Lateral_ventricle	Thalamus_1	Lateral_ventricle|Thalamus_1	-8.094708533	1
63	Cortex_4	Hypothalamus_2	Cortex_4|Hypothalamus_2	-8.122019553	0
64	Cortex_3	Cortex_5	Cortex_3|Cortex_5	-8.228314512	2
65	Striatum	Thalamus_2	Striatum|Thalamus_2	-8.301270774	0
66	Cortex_5	Thalamus_2	Cortex_5|Thalamus_2	-8.407991275	0
67	Fiber_tract	Thalamus_2	Fiber_tract|Thalamus_2	-8.418348835	24
68	Cortex_4	Thalamus_2	Cortex_4|Thalamus_2	-8.730016512	0
69	Cortex_2	Cortex_4	Cortex_2|Cortex_4	-8.741467398	9
70	Cortex_2	Lateral_ventricle	Cortex_2|Lateral_ventricle	-8.798284895	7
71	Cortex_4	Hypothalamus_1	Cortex_4|Hypothalamus_1	-8.833390221	0
72	Cortex_5	Fiber_tract	Cortex_5|Fiber_tract	-9.010113548	0
73	Cortex_2	Hypothalamus_2	Cortex_2|Hypothalamus_2	-9.045767564	0
74	Fiber_tract	Thalamus_1	Fiber_tract|Thalamus_1	-9.140146975	35
75	Cortex_1	Lateral_ventricle	Cortex_1|Lateral_ventricle	-9.265252892	0
76	Cortex_4	Fiber_tract	Cortex_4|Fiber_tract	-9.278824043	0
77	Cortex_3	Hypothalamus_2	Cortex_3|Hypothalamus_2	-9.594837253	0
78	Hypothalamus_1	Striatum	Hypothalamus_1|Striatum	-9.946042975	0
79	Cortex_5	Thalamus_1	Cortex_5|Thalamus_1	-9.992923651	0
80	Cortex_1	Cortex_5	Cortex_1|Cortex_5	-10.01688853	4
81	Cortex_4	Hippocampus	Cortex_4|Hippocampus	-10.17785368	0
82	Cortex_1	Hypothalamus_2	Cortex_1|Hypothalamus_2	-10.25834128	0
83	Cortex_3	Cortex_4	Cortex_3|Cortex_4	-10.33795697	0
84	Hippocampus	Thalamus_2	Hippocampus|Thalamus_2	-10.50563711	0
85	Striatum	Thalamus_1	Striatum|Thalamus_1	-10.63216534	0
86	Cortex_4	Thalamus_1	Cortex_4|Thalamus_1	-10.73764695	0
87	Cortex_2	Hypothalamus_1	Cortex_2|Hypothalamus_1	-10.85903947	0
88	Fiber_tract	Hypothalamus_1	Fiber_tract|Hypothalamus_1	-10.89450049	7
89	Cortex_3	Hippocampus	Cortex_3|Hippocampus	-10.94139386	3
90	Hippocampus	Hypothalamus_1	Hippocampus|Hypothalamus_1	-10.9552006	0
91	Cortex_1	Thalamus_2	Cortex_1|Thalamus_2	-11.13179827	0
92	Cortex_3	Thalamus_2	Cortex_3|Thalamus_2	-11.21972284	0
93	Cortex_2	Hippocampus	Cortex_2|Hippocampus	-11.23019432	0
94	Cortex_1	Striatum	Cortex_1|Striatum	-11.30269204	0
95	Hippocampus	Thalamus_1	Hippocampus|Thalamus_1	-11.53744994	3
96	Cortex_3	Hypothalamus_1	Cortex_3|Hypothalamus_1	-11.66944196	0
97	Cortex_1	Fiber_tract	Cortex_1|Fiber_tract	-11.94928803	4
98	Cortex_2	Fiber_tract	Cortex_2|Fiber_tract	-12.13687416	0
99	Cortex_2	Thalamus_2	Cortex_2|Thalamus_2	-12.22535455	0
100	Hypothalamus_1	Thalamus_1	Hypothalamus_1|Thalamus_1	-12.31667679	0
101	Cortex_1	Cortex_2	Cortex_1|Cortex_2	-12.75200628	1
102	Cortex_1	Hypothalamus_1	Cortex_1|Hypothalamus_1	-13.24854074	0
103	Cortex_1	Thalamus_1	Cortex_1|Thalamus_1	-13.83765319	0
104	Cortex_3	Thalamus_1	Cortex_3|Thalamus_1	-14.44108276	0
105	Cortex_2	Thalamus_1	Cortex_2|Thalamus_1	-15.55191358	0
