rank	source	target	cluster_1	cluster_2	mean	pvalue	interaction_key
135	APOE	LRP1	Cortex_2	Cortex_1	2.7579438950813993		APOE|LRP1|Cortex_2->Cortex_1
136	APOE	LRP1	Cortex_2	Hypothalamus_1	2.755316648918849		APOE|LRP1|Cortex_2->Hypothalamus_1
137	APOE	LRP1	Striatum	Pyramidal_layer_dentate_gyrus	2.7544277376111816		APOE|LRP1|Striatum->Pyramidal_layer_dentate_gyrus
138	APOE	LRP1	Cortex_2	Cortex_3	2.7497241251537057		APOE|LRP1|Cortex_2->Cortex_3
139	APOE	LRP1	Cortex_1	Pyramidal_layer	2.7491403236275627		APOE|LRP1|Cortex_1->Pyramidal_layer
140	APOE	LRP1	Cortex_4	Lateral_ventricle	2.7362575741041275		APOE|LRP1|Cortex_4->Lateral_ventricle
141	APOE	LRP1	Thalamus_1	Hippocampus	2.7277967665378036		APOE|LRP1|Thalamus_1->Hippocampus
142	APOE	LRP1	Cortex_2	Cortex_5	2.7271532162215357		APOE|LRP1|Cortex_2->Cortex_5
143	APOE	LRP1	Hypothalamus_1	Fiber_tract	2.7261054972104266		APOE|LRP1|Hypothalamus_1->Fiber_tract
144	APOE	LRP1	Thalamus_2	Fiber_tract	2.724409149020119		APOE|LRP1|Thalamus_2->Fiber_tract
145	APOE	LRP1	Cortex_2	Hypothalamus_2	2.7238602172163198		APOE|LRP1|Cortex_2->Hypothalamus_2
146	APOE	LRP1	Cortex_4	Cortex_4	2.7207280013982844		APOE|LRP1|Cortex_4->Cortex_4
147	APOE	LRP1	Hypothalamus_2	Fiber_tract	2.71965079101841		APOE|LRP1|Hypothalamus_2->Fiber_tract
148	APOE	LRP1	Cortex_2	Thalamus_1	2.716572616748883		APOE|LRP1|Cortex_2->Thalamus_1
149	APOE	LRP1	Cortex_4	Thalamus_2	2.712860705486188		APOE|LRP1|Cortex_4->Thalamus_2
150	APOE	LRP1	Cortex_1	Lateral_ventricle	2.7128499956358048		APOE|LRP1|Cortex_1->Lateral_ventricle
151	APOE	LRP1	Striatum	Hippocampus	2.703829738873619		APOE|LRP1|Striatum->Hippocampus
152	APOE	LRP1	Cortex_1	Cortex_4	2.6973204229299617		APOE|LRP1|Cortex_1->Cortex_4
153	APOE	LRP1	Cortex_4	Striatum	2.6967503950486775		APOE|LRP1|Cortex_4->Striatum
154	APOE	LRP1	Cortex_4	Cortex_2	2.6909244650764688		APOE|LRP1|Cortex_4->Cortex_2
155	APOE	LRP1	Cortex_4	Cortex_1	2.6902938153542264		APOE|LRP1|Cortex_4->Cortex_1
156	APOE	LRP1	Cortex_1	Thalamus_2	2.6894531270178654		APOE|LRP1|Cortex_1->Thalamus_2
157	APOE	LRP1	Cortex_4	Hypothalamus_1	2.687666569191676		APOE|LRP1|Cortex_4->Hypothalamus_1
158	APOE	LRP1	Cortex_2	Pyramidal_layer_dentate_gyrus	2.684727615731604		APOE|LRP1|Cortex_2->Pyramidal_layer_dentate_gyrus
159	APOE	LRP1	Cortex_4	Cortex_3	2.682074045426533		APOE|LRP1|Cortex_4->Cortex_3
160	APOE	LRP1	Cortex_3	Pyramidal_layer	2.681703866947265		APOE|LRP1|Cortex_3->Pyramidal_layer
161	APOE	LRP1	Cortex_1	Striatum	2.6733428165803548		APOE|LRP1|Cortex_1->Striatum
162	APOE	LRP1	Cortex_1	Cortex_2	2.667516886608146		APOE|LRP1|Cortex_1->Cortex_2
163	APOE	LRP1	Cortex_1	Cortex_1	2.6668862368859036		APOE|LRP1|Cortex_1->Cortex_1
164	APOE	LRP1	Cortex_1	Hypothalamus_1	2.6642589907233534		APOE|LRP1|Cortex_1->Hypothalamus_1
165	APOE	LRP1	Thalamus_1	Fiber_tract	2.6599619844845965		APOE|LRP1|Thalamus_1->Fiber_tract
166	APOE	LRP1	Cortex_4	Cortex_5	2.659503136494363		APOE|LRP1|Cortex_4->Cortex_5
167	APOE	LRP1	Cortex_1	Cortex_3	2.65866646695821		APOE|LRP1|Cortex_1->Cortex_3
168	APOE	LRP1	Pyramidal_layer_dentate_gyrus	Pyramidal_layer	2.6564083709603263	0.99	APOE|LRP1|Pyramidal_layer_dentate_gyrus->Pyramidal_layer
169	APOE	LRP1	Cortex_4	Hypothalamus_2	2.656210137489147		APOE|LRP1|Cortex_4->Hypothalamus_2
170	APOE	LRP1	Cortex_4	Thalamus_1	2.64892253702171		APOE|LRP1|Cortex_4->Thalamus_1
171	APOE	LRP1	Cortex_3	Lateral_ventricle	2.645413538955507		APOE|LRP1|Cortex_3->Lateral_ventricle
172	APOE	LRP1	Cortex_1	Cortex_5	2.63609555802604		APOE|LRP1|Cortex_1->Cortex_5
173	APOE	LRP1	Striatum	Fiber_tract	2.635994956820412		APOE|LRP1|Striatum->Fiber_tract
174	APOE	LRP1	Cortex_2	Hippocampus	2.6341296169940414		APOE|LRP1|Cortex_2->Hippocampus
175	APOE	LRP1	Cortex_1	Hypothalamus_2	2.632802559020824		APOE|LRP1|Cortex_1->Hypothalamus_2
176	APOE	LRP1	Cortex_3	Cortex_4	2.629883966249664		APOE|LRP1|Cortex_3->Cortex_4
177	APOE	LRP1	Cortex_1	Thalamus_1	2.6255149585533872		APOE|LRP1|Cortex_1->Thalamus_1
178	APOE	LRP1	Cortex_3	Thalamus_2	2.6220166703375676		APOE|LRP1|Cortex_3->Thalamus_2
179	APOE	LRP1	Pyramidal_layer_dentate_gyrus	Lateral_ventricle	2.6201180429685684		APOE|LRP1|Pyramidal_layer_dentate_gyrus->Lateral_ventricle
180	APOE	LRP1	Cortex_4	Pyramidal_layer_dentate_gyrus	2.617077536004431		APOE|LRP1|Cortex_4->Pyramidal_layer_dentate_gyrus
181	APOE	LRP1	Cortex_3	Striatum	2.605906359900057		APOE|LRP1|Cortex_3->Striatum
182	APOE	LRP1	Pyramidal_layer_dentate_gyrus	Cortex_4	2.6045884702627253		APOE|LRP1|Pyramidal_layer_dentate_gyrus->Cortex_4
183	APOE	LRP1	Cortex_3	Cortex_2	2.600080429927848		APOE|LRP1|Cortex_3->Cortex_2
184	APOE	LRP1	Cortex_3	Cortex_1	2.599449780205606		APOE|LRP1|Cortex_3->Cortex_1
185	APOE	LRP1	Cortex_3	Hypothalamus_1	2.5968225340430555		APOE|LRP1|Cortex_3->Hypothalamus_1
186	APOE	LRP1	Pyramidal_layer_dentate_gyrus	Thalamus_2	2.596721174350629		APOE|LRP1|Pyramidal_layer_dentate_gyrus->Thalamus_2
187	APOE	LRP1	Cortex_1	Pyramidal_layer_dentate_gyrus	2.5936699575361084		APOE|LRP1|Cortex_1->Pyramidal_layer_dentate_gyrus
188	APOE	LRP1	Cortex_3	Cortex_3	2.591230010277912		APOE|LRP1|Cortex_3->Cortex_3
189	APOE	LRP1	Pyramidal_layer_dentate_gyrus	Striatum	2.5806108639131184		APOE|LRP1|Pyramidal_layer_dentate_gyrus->Striatum
190	APOE	LRP1	Pyramidal_layer_dentate_gyrus	Cortex_2	2.5747849339409097		APOE|LRP1|Pyramidal_layer_dentate_gyrus->Cortex_2
191	APOE	LRP1	Pyramidal_layer_dentate_gyrus	Cortex_1	2.5741542842186673		APOE|LRP1|Pyramidal_layer_dentate_gyrus->Cortex_1
192	APOE	LRP1	Pyramidal_layer_dentate_gyrus	Hypothalamus_1	2.571527038056117		APOE|LRP1|Pyramidal_layer_dentate_gyrus->Hypothalamus_1
193	APOE	LRP1	Cortex_3	Cortex_5	2.5686591013457423		APOE|LRP1|Cortex_3->Cortex_5
194	APOE	LRP1	Cortex_4	Hippocampus	2.5664795372668685		APOE|LRP1|Cortex_4->Hippocampus
195	APOE	LRP1	Cortex_2	Fiber_tract	2.5662948349408343		APOE|LRP1|Cortex_2->Fiber_tract
196	APOE	LRP1	Pyramidal_layer_dentate_gyrus	Cortex_3	2.5659345142909737		APOE|LRP1|Pyramidal_layer_dentate_gyrus->Cortex_3
197	APOE	LRP1	Cortex_3	Hypothalamus_2	2.5653661023405263		APOE|LRP1|Cortex_3->Hypothalamus_2
198	APOE	LRP1	Pyramidal_layer	Pyramidal_layer	2.560420574176879	1.0	APOE|LRP1|Pyramidal_layer->Pyramidal_layer
199	APOE	LRP1	Cortex_3	Thalamus_1	2.5580785018730894		APOE|LRP1|Cortex_3->Thalamus_1
200	APOE	LRP1	Pyramidal_layer_dentate_gyrus	Cortex_5	2.543363605358804		APOE|LRP1|Pyramidal_layer_dentate_gyrus->Cortex_5
201	APOE	LRP1	Cortex_1	Hippocampus	2.5430719587985458		APOE|LRP1|Cortex_1->Hippocampus
202	APOE	LRP1	Pyramidal_layer_dentate_gyrus	Hypothalamus_2	2.540070606353588		APOE|LRP1|Pyramidal_layer_dentate_gyrus->Hypothalamus_2
203	APOE	LRP1	Pyramidal_layer_dentate_gyrus	Thalamus_1	2.532783005886151		APOE|LRP1|Pyramidal_layer_dentate_gyrus->Thalamus_1
204	APOE	LRP1	Cortex_3	Pyramidal_layer_dentate_gyrus	2.5262335008558106		APOE|LRP1|Cortex_3->Pyramidal_layer_dentate_gyrus
205	APOE	LRP1	Pyramidal_layer	Lateral_ventricle	2.524130246185121		APOE|LRP1|Pyramidal_layer->Lateral_ventricle
206	APOE	LRP1	Pyramidal_layer	Cortex_4	2.508600673479278		APOE|LRP1|Pyramidal_layer->Cortex_4
207	APOE	LRP1	Pyramidal_layer_dentate_gyrus	Pyramidal_layer_dentate_gyrus	2.500938004868872	1.0	APOE|LRP1|Pyramidal_layer_dentate_gyrus->Pyramidal_layer_dentate_gyrus
208	APOE	LRP1	Pyramidal_layer	Thalamus_2	2.500733377567182		APOE|LRP1|Pyramidal_layer->Thalamus_2
209	APOE	LRP1	Cortex_4	Fiber_tract	2.4986447552136615		APOE|LRP1|Cortex_4->Fiber_tract
210	APOE	LRP1	Pyramidal_layer	Striatum	2.484623067129671		APOE|LRP1|Pyramidal_layer->Striatum
211	APOE	LRP1	Pyramidal_layer	Cortex_2	2.4787971371574624		APOE|LRP1|Pyramidal_layer->Cortex_2
212	APOE	LRP1	Pyramidal_layer	Cortex_1	2.47816648743522		APOE|LRP1|Pyramidal_layer->Cortex_1
213	APOE	LRP1	Cortex_3	Hippocampus	2.475635502118248		APOE|LRP1|Cortex_3->Hippocampus
214	APOE	LRP1	Pyramidal_layer	Hypothalamus_1	2.4755392412726698		APOE|LRP1|Pyramidal_layer->Hypothalamus_1
215	APOE	LRP1	Cortex_1	Fiber_tract	2.4752371767453387		APOE|LRP1|Cortex_1->Fiber_tract
216	APOE	LRP1	Pyramidal_layer	Cortex_3	2.4699467175075265		APOE|LRP1|Pyramidal_layer->Cortex_3
217	APOE	LRP1	Pyramidal_layer_dentate_gyrus	Hippocampus	2.4503400061313094		APOE|LRP1|Pyramidal_layer_dentate_gyrus->Hippocampus
218	APOE	LRP1	Pyramidal_layer	Cortex_5	2.4473758085753565		APOE|LRP1|Pyramidal_layer->Cortex_5
219	APOE	LRP1	Pyramidal_layer	Hypothalamus_2	2.4440828095701406		APOE|LRP1|Pyramidal_layer->Hypothalamus_2
220	APOE	LRP1	Pyramidal_layer	Thalamus_1	2.4367952091027036		APOE|LRP1|Pyramidal_layer->Thalamus_1
