cluster_1	cluster_2	pair_key	radius_index	radius_start	radius_end	cooccurrence
Cortex_1	Cortex_3	Cortex_1->Cortex_3	12	2181.505615	2351.834717	1.846372485
Cortex_1	Cortex_3	Cortex_1->Cortex_3	13	2351.834717	2522.163818	1.796929479
Cortex_1	Cortex_3	Cortex_1->Cortex_3	14	2522.163818	2692.492676	1.747327209
Cortex_1	Cortex_3	Cortex_1->Cortex_3	15	2692.492676	2862.821777	1.698254704
Cortex_1	Cortex_3	Cortex_1->Cortex_3	16	2862.821777	3033.150879	1.649433136
Cortex_1	Cortex_3	Cortex_1->Cortex_3	17	3033.150879	3203.47998	1.604955554
Cortex_1	Cortex_3	Cortex_1->Cortex_3	18	3203.47998	3373.808838	1.557898164
Cortex_1	Cortex_3	Cortex_1->Cortex_3	19	3373.808838	3544.137939	1.512846708
Cortex_1	Cortex_3	Cortex_1->Cortex_3	20	3544.137939	3714.467041	1.472201705
Cortex_1	Cortex_3	Cortex_1->Cortex_3	21	3714.467041	3884.796143	1.428793669
Cortex_1	Cortex_3	Cortex_1->Cortex_3	22	3884.796143	4055.125	1.394785523
Cortex_1	Cortex_3	Cortex_1->Cortex_3	23	4055.125	4225.454102	1.352663279
Cortex_1	Cortex_4	Cortex_1->Cortex_4	0	137.5572662	307.8862915	1.929057479
Cortex_1	Cortex_4	Cortex_1->Cortex_4	1	307.8862915	478.215332	2.687097311
Cortex_1	Cortex_4	Cortex_1->Cortex_4	2	478.215332	648.5443726	3.47893858
Cortex_1	Cortex_4	Cortex_1->Cortex_4	3	648.5443726	818.8734131	3.816442013
Cortex_1	Cortex_4	Cortex_1->Cortex_4	4	818.8734131	989.2024536	4.003633022
Cortex_1	Cortex_4	Cortex_1->Cortex_4	5	989.2024536	1159.531494	3.973828077
Cortex_1	Cortex_4	Cortex_1->Cortex_4	6	1159.531494	1329.860474	3.84019208
Cortex_1	Cortex_4	Cortex_1->Cortex_4	7	1329.860474	1500.189575	3.703111172
Cortex_1	Cortex_4	Cortex_1->Cortex_4	8	1500.189575	1670.518555	3.578230619
Cortex_1	Cortex_4	Cortex_1->Cortex_4	9	1670.518555	1840.847656	3.406607389
Cortex_1	Cortex_4	Cortex_1->Cortex_4	10	1840.847656	2011.176636	3.270860434
Cortex_1	Cortex_4	Cortex_1->Cortex_4	11	2011.176636	2181.505615	3.116270781
Cortex_1	Cortex_4	Cortex_1->Cortex_4	12	2181.505615	2351.834717	2.987564325
Cortex_1	Cortex_4	Cortex_1->Cortex_4	13	2351.834717	2522.163818	2.854722023
Cortex_1	Cortex_4	Cortex_1->Cortex_4	14	2522.163818	2692.492676	2.720825911
Cortex_1	Cortex_4	Cortex_1->Cortex_4	15	2692.492676	2862.821777	2.606030226
Cortex_1	Cortex_4	Cortex_1->Cortex_4	16	2862.821777	3033.150879	2.480130672
Cortex_1	Cortex_4	Cortex_1->Cortex_4	17	3033.150879	3203.47998	2.382294416
Cortex_1	Cortex_4	Cortex_1->Cortex_4	18	3203.47998	3373.808838	2.276118279
Cortex_1	Cortex_4	Cortex_1->Cortex_4	19	3373.808838	3544.137939	2.177791357
Cortex_1	Cortex_4	Cortex_1->Cortex_4	20	3544.137939	3714.467041	2.090143442
Cortex_1	Cortex_4	Cortex_1->Cortex_4	21	3714.467041	3884.796143	1.999248385
Cortex_1	Cortex_4	Cortex_1->Cortex_4	22	3884.796143	4055.125	1.92249918
Cortex_1	Cortex_4	Cortex_1->Cortex_4	23	4055.125	4225.454102	1.833699465
Cortex_1	Cortex_5	Cortex_1->Cortex_5	0	137.5572662	307.8862915	0.1148315594
Cortex_1	Cortex_5	Cortex_1->Cortex_5	1	307.8862915	478.215332	0.5002729893
Cortex_1	Cortex_5	Cortex_1->Cortex_5	2	478.215332	648.5443726	1.213338256
Cortex_1	Cortex_5	Cortex_1->Cortex_5	3	648.5443726	818.8734131	1.606596708
Cortex_1	Cortex_5	Cortex_1->Cortex_5	4	818.8734131	989.2024536	2.037477732
Cortex_1	Cortex_5	Cortex_1->Cortex_5	5	989.2024536	1159.531494	2.238678932
Cortex_1	Cortex_5	Cortex_1->Cortex_5	6	1159.531494	1329.860474	2.298245907
Cortex_1	Cortex_5	Cortex_1->Cortex_5	7	1329.860474	1500.189575	2.274626493
Cortex_1	Cortex_5	Cortex_1->Cortex_5	8	1500.189575	1670.518555	2.222340584
Cortex_1	Cortex_5	Cortex_1->Cortex_5	9	1670.518555	1840.847656	2.148660183
Cortex_1	Cortex_5	Cortex_1->Cortex_5	10	1840.847656	2011.176636	2.086504221
Cortex_1	Cortex_5	Cortex_1->Cortex_5	11	2011.176636	2181.505615	2.013583422
Cortex_1	Cortex_5	Cortex_1->Cortex_5	12	2181.505615	2351.834717	1.948049664
Cortex_1	Cortex_5	Cortex_1->Cortex_5	13	2351.834717	2522.163818	1.885548949
Cortex_1	Cortex_5	Cortex_1->Cortex_5	14	2522.163818	2692.492676	1.816279411
Cortex_1	Cortex_5	Cortex_1->Cortex_5	15	2692.492676	2862.821777	1.761227012
Cortex_1	Cortex_5	Cortex_1->Cortex_5	16	2862.821777	3033.150879	1.697570682
Cortex_1	Cortex_5	Cortex_1->Cortex_5	17	3033.150879	3203.47998	1.646694183
Cortex_1	Cortex_5	Cortex_1->Cortex_5	18	3203.47998	3373.808838	1.592276096
Cortex_1	Cortex_5	Cortex_1->Cortex_5	19	3373.808838	3544.137939	1.543271065
Cortex_1	Cortex_5	Cortex_1->Cortex_5	20	3544.137939	3714.467041	1.496281862
Cortex_1	Cortex_5	Cortex_1->Cortex_5	21	3714.467041	3884.796143	1.451359987
Cortex_1	Cortex_5	Cortex_1->Cortex_5	22	3884.796143	4055.125	1.4125278
Cortex_1	Cortex_5	Cortex_1->Cortex_5	23	4055.125	4225.454102	1.366789222
Cortex_1	Fiber_tract	Cortex_1->Fiber_tract	0	137.5572662	307.8862915	0.04623052478
Cortex_1	Fiber_tract	Cortex_1->Fiber_tract	1	307.8862915	478.215332	0.08981434256
Cortex_1	Fiber_tract	Cortex_1->Fiber_tract	2	478.215332	648.5443726	0.2442734241
Cortex_1	Fiber_tract	Cortex_1->Fiber_tract	3	648.5443726	818.8734131	0.3679553568
Cortex_1	Fiber_tract	Cortex_1->Fiber_tract	4	818.8734131	989.2024536	0.5337424874
Cortex_1	Fiber_tract	Cortex_1->Fiber_tract	5	989.2024536	1159.531494	0.6430417895
Cortex_1	Fiber_tract	Cortex_1->Fiber_tract	6	1159.531494	1329.860474	0.7342714071
Cortex_1	Fiber_tract	Cortex_1->Fiber_tract	7	1329.860474	1500.189575	0.7768983245
Cortex_1	Fiber_tract	Cortex_1->Fiber_tract	8	1500.189575	1670.518555	0.7988452911
Cortex_1	Fiber_tract	Cortex_1->Fiber_tract	9	1670.518555	1840.847656	0.8171290159
Cortex_1	Fiber_tract	Cortex_1->Fiber_tract	10	1840.847656	2011.176636	0.8217055798
Cortex_1	Fiber_tract	Cortex_1->Fiber_tract	11	2011.176636	2181.505615	0.8321249485
Cortex_1	Fiber_tract	Cortex_1->Fiber_tract	12	2181.505615	2351.834717	0.836235404
Cortex_1	Fiber_tract	Cortex_1->Fiber_tract	13	2351.834717	2522.163818	0.8372896314
Cortex_1	Fiber_tract	Cortex_1->Fiber_tract	14	2522.163818	2692.492676	0.8336359262
Cortex_1	Fiber_tract	Cortex_1->Fiber_tract	15	2692.492676	2862.821777	0.8349897861
Cortex_1	Fiber_tract	Cortex_1->Fiber_tract	16	2862.821777	3033.150879	0.8446956277
Cortex_1	Fiber_tract	Cortex_1->Fiber_tract	17	3033.150879	3203.47998	0.852163136
Cortex_1	Fiber_tract	Cortex_1->Fiber_tract	18	3203.47998	3373.808838	0.863435626
Cortex_1	Fiber_tract	Cortex_1->Fiber_tract	19	3373.808838	3544.137939	0.8742537498
Cortex_1	Fiber_tract	Cortex_1->Fiber_tract	20	3544.137939	3714.467041	0.8862411976
Cortex_1	Fiber_tract	Cortex_1->Fiber_tract	21	3714.467041	3884.796143	0.9030100107
Cortex_1	Fiber_tract	Cortex_1->Fiber_tract	22	3884.796143	4055.125	0.9196948409
Cortex_1	Fiber_tract	Cortex_1->Fiber_tract	23	4055.125	4225.454102	0.9425278306
Cortex_1	Hippocampus	Cortex_1->Hippocampus	0	137.5572662	307.8862915	0.2781270742
Cortex_1	Hippocampus	Cortex_1->Hippocampus	1	307.8862915	478.215332	0.2551115155
Cortex_1	Hippocampus	Cortex_1->Hippocampus	2	478.215332	648.5443726	0.2649056613
Cortex_1	Hippocampus	Cortex_1->Hippocampus	3	648.5443726	818.8734131	0.3101711273
Cortex_1	Hippocampus	Cortex_1->Hippocampus	4	818.8734131	989.2024536	0.4310411215
Cortex_1	Hippocampus	Cortex_1->Hippocampus	5	989.2024536	1159.531494	0.5814656615
Cortex_1	Hippocampus	Cortex_1->Hippocampus	6	1159.531494	1329.860474	0.7973116636
Cortex_1	Hippocampus	Cortex_1->Hippocampus	7	1329.860474	1500.189575	1.005156517
Cortex_1	Hippocampus	Cortex_1->Hippocampus	8	1500.189575	1670.518555	1.189000607
Cortex_1	Hippocampus	Cortex_1->Hippocampus	9	1670.518555	1840.847656	1.385564566
Cortex_1	Hippocampus	Cortex_1->Hippocampus	10	1840.847656	2011.176636	1.515022397
Cortex_1	Hippocampus	Cortex_1->Hippocampus	11	2011.176636	2181.505615	1.611600161
Cortex_1	Hippocampus	Cortex_1->Hippocampus	12	2181.505615	2351.834717	1.668664098
Cortex_1	Hippocampus	Cortex_1->Hippocampus	13	2351.834717	2522.163818	1.68850565
Cortex_1	Hippocampus	Cortex_1->Hippocampus	14	2522.163818	2692.492676	1.685299873
Cortex_1	Hippocampus	Cortex_1->Hippocampus	15	2692.492676	2862.821777	1.665526152
Cortex_1	Hippocampus	Cortex_1->Hippocampus	16	2862.821777	3033.150879	1.639047742
Cortex_1	Hippocampus	Cortex_1->Hippocampus	17	3033.150879	3203.47998	1.6145401
Cortex_1	Hippocampus	Cortex_1->Hippocampus	18	3203.47998	3373.808838	1.586064696
Cortex_1	Hippocampus	Cortex_1->Hippocampus	19	3373.808838	3544.137939	1.554392219
Cortex_1	Hippocampus	Cortex_1->Hippocampus	20	3544.137939	3714.467041	1.524932384
Cortex_1	Hippocampus	Cortex_1->Hippocampus	21	3714.467041	3884.796143	1.492065668
Cortex_1	Hippocampus	Cortex_1->Hippocampus	22	3884.796143	4055.125	1.460029364
Cortex_1	Hippocampus	Cortex_1->Hippocampus	23	4055.125	4225.454102	1.42207551
Cortex_1	Hypothalamus_1	Cortex_1->Hypothalamus_1	0	137.5572662	307.8862915	0
Cortex_1	Hypothalamus_1	Cortex_1->Hypothalamus_1	1	307.8862915	478.215332	0
Cortex_1	Hypothalamus_1	Cortex_1->Hypothalamus_1	2	478.215332	648.5443726	0
Cortex_1	Hypothalamus_1	Cortex_1->Hypothalamus_1	3	648.5443726	818.8734131	0
Cortex_1	Hypothalamus_1	Cortex_1->Hypothalamus_1	4	818.8734131	989.2024536	0
Cortex_1	Hypothalamus_1	Cortex_1->Hypothalamus_1	5	989.2024536	1159.531494	0
Cortex_1	Hypothalamus_1	Cortex_1->Hypothalamus_1	6	1159.531494	1329.860474	0
Cortex_1	Hypothalamus_1	Cortex_1->Hypothalamus_1	7	1329.860474	1500.189575	0
Cortex_1	Hypothalamus_1	Cortex_1->Hypothalamus_1	8	1500.189575	1670.518555	0
Cortex_1	Hypothalamus_1	Cortex_1->Hypothalamus_1	9	1670.518555	1840.847656	0
Cortex_1	Hypothalamus_1	Cortex_1->Hypothalamus_1	10	1840.847656	2011.176636	0
Cortex_1	Hypothalamus_1	Cortex_1->Hypothalamus_1	11	2011.176636	2181.505615	0
Cortex_1	Hypothalamus_1	Cortex_1->Hypothalamus_1	12	2181.505615	2351.834717	0
Cortex_1	Hypothalamus_1	Cortex_1->Hypothalamus_1	13	2351.834717	2522.163818	0
Cortex_1	Hypothalamus_1	Cortex_1->Hypothalamus_1	14	2522.163818	2692.492676	0
Cortex_1	Hypothalamus_1	Cortex_1->Hypothalamus_1	15	2692.492676	2862.821777	0
Cortex_1	Hypothalamus_1	Cortex_1->Hypothalamus_1	16	2862.821777	3033.150879	0
Cortex_1	Hypothalamus_1	Cortex_1->Hypothalamus_1	17	3033.150879	3203.47998	0
Cortex_1	Hypothalamus_1	Cortex_1->Hypothalamus_1	18	3203.47998	3373.808838	0
Cortex_1	Hypothalamus_1	Cortex_1->Hypothalamus_1	19	3373.808838	3544.137939	0
Cortex_1	Hypothalamus_1	Cortex_1->Hypothalamus_1	20	3544.137939	3714.467041	0
Cortex_1	Hypothalamus_1	Cortex_1->Hypothalamus_1	21	3714.467041	3884.796143	0
Cortex_1	Hypothalamus_1	Cortex_1->Hypothalamus_1	22	3884.796143	4055.125	0
Cortex_1	Hypothalamus_1	Cortex_1->Hypothalamus_1	23	4055.125	4225.454102	0
Cortex_1	Hypothalamus_2	Cortex_1->Hypothalamus_2	0	137.5572662	307.8862915	0
Cortex_1	Hypothalamus_2	Cortex_1->Hypothalamus_2	1	307.8862915	478.215332	0
Cortex_1	Hypothalamus_2	Cortex_1->Hypothalamus_2	2	478.215332	648.5443726	0
Cortex_1	Hypothalamus_2	Cortex_1->Hypothalamus_2	3	648.5443726	818.8734131	0
Cortex_1	Hypothalamus_2	Cortex_1->Hypothalamus_2	4	818.8734131	989.2024536	0
Cortex_1	Hypothalamus_2	Cortex_1->Hypothalamus_2	5	989.2024536	1159.531494	0
Cortex_1	Hypothalamus_2	Cortex_1->Hypothalamus_2	6	1159.531494	1329.860474	0
Cortex_1	Hypothalamus_2	Cortex_1->Hypothalamus_2	7	1329.860474	1500.189575	0
Cortex_1	Hypothalamus_2	Cortex_1->Hypothalamus_2	8	1500.189575	1670.518555	0
Cortex_1	Hypothalamus_2	Cortex_1->Hypothalamus_2	9	1670.518555	1840.847656	0.001300481497
Cortex_1	Hypothalamus_2	Cortex_1->Hypothalamus_2	10	1840.847656	2011.176636	0.006421389524
Cortex_1	Hypothalamus_2	Cortex_1->Hypothalamus_2	11	2011.176636	2181.505615	0.03126518056
Cortex_1	Hypothalamus_2	Cortex_1->Hypothalamus_2	12	2181.505615	2351.834717	0.06950610876
Cortex_1	Hypothalamus_2	Cortex_1->Hypothalamus_2	13	2351.834717	2522.163818	0.1296931058
Cortex_1	Hypothalamus_2	Cortex_1->Hypothalamus_2	14	2522.163818	2692.492676	0.2010778785
Cortex_1	Hypothalamus_2	Cortex_1->Hypothalamus_2	15	2692.492676	2862.821777	0.255764246
Cortex_1	Hypothalamus_2	Cortex_1->Hypothalamus_2	16	2862.821777	3033.150879	0.3067528009
Cortex_1	Hypothalamus_2	Cortex_1->Hypothalamus_2	17	3033.150879	3203.47998	0.3440044224
Cortex_1	Hypothalamus_2	Cortex_1->Hypothalamus_2	18	3203.47998	3373.808838	0.3822698593
Cortex_1	Hypothalamus_2	Cortex_1->Hypothalamus_2	19	3373.808838	3544.137939	0.4204253852
Cortex_1	Hypothalamus_2	Cortex_1->Hypothalamus_2	20	3544.137939	3714.467041	0.4560730159
Cortex_1	Hypothalamus_2	Cortex_1->Hypothalamus_2	21	3714.467041	3884.796143	0.4944840074
Cortex_1	Hypothalamus_2	Cortex_1->Hypothalamus_2	22	3884.796143	4055.125	0.5305569172
Cortex_1	Hypothalamus_2	Cortex_1->Hypothalamus_2	23	4055.125	4225.454102	0.5790112019
Cortex_1	Lateral_ventricle	Cortex_1->Lateral_ventricle	0	137.5572662	307.8862915	0
Cortex_1	Lateral_ventricle	Cortex_1->Lateral_ventricle	1	307.8862915	478.215332	0
Cortex_1	Lateral_ventricle	Cortex_1->Lateral_ventricle	2	478.215332	648.5443726	0.02840553783
Cortex_1	Lateral_ventricle	Cortex_1->Lateral_ventricle	3	648.5443726	818.8734131	0.06613936275
Cortex_1	Lateral_ventricle	Cortex_1->Lateral_ventricle	4	818.8734131	989.2024536	0.1613214761
Cortex_1	Lateral_ventricle	Cortex_1->Lateral_ventricle	5	989.2024536	1159.531494	0.2430980355
Cortex_1	Lateral_ventricle	Cortex_1->Lateral_ventricle	6	1159.531494	1329.860474	0.3431476653
Cortex_1	Lateral_ventricle	Cortex_1->Lateral_ventricle	7	1329.860474	1500.189575	0.4259266853
Cortex_1	Lateral_ventricle	Cortex_1->Lateral_ventricle	8	1500.189575	1670.518555	0.4896353185
Cortex_1	Lateral_ventricle	Cortex_1->Lateral_ventricle	9	1670.518555	1840.847656	0.5455493331
Cortex_1	Lateral_ventricle	Cortex_1->Lateral_ventricle	10	1840.847656	2011.176636	0.5806139112
Cortex_1	Lateral_ventricle	Cortex_1->Lateral_ventricle	11	2011.176636	2181.505615	0.6093998551
Cortex_1	Lateral_ventricle	Cortex_1->Lateral_ventricle	12	2181.505615	2351.834717	0.6339641213
Cortex_1	Lateral_ventricle	Cortex_1->Lateral_ventricle	13	2351.834717	2522.163818	0.6769484878
Cortex_1	Lateral_ventricle	Cortex_1->Lateral_ventricle	14	2522.163818	2692.492676	0.7195365429
Cortex_1	Lateral_ventricle	Cortex_1->Lateral_ventricle	15	2692.492676	2862.821777	0.7506480813
Cortex_1	Lateral_ventricle	Cortex_1->Lateral_ventricle	16	2862.821777	3033.150879	0.7616225481
Cortex_1	Lateral_ventricle	Cortex_1->Lateral_ventricle	17	3033.150879	3203.47998	0.7658067942
Cortex_1	Lateral_ventricle	Cortex_1->Lateral_ventricle	18	3203.47998	3373.808838	0.7703664899
Cortex_1	Lateral_ventricle	Cortex_1->Lateral_ventricle	19	3373.808838	3544.137939	0.7706020474
Cortex_1	Lateral_ventricle	Cortex_1->Lateral_ventricle	20	3544.137939	3714.467041	0.7736039162
Cortex_1	Lateral_ventricle	Cortex_1->Lateral_ventricle	21	3714.467041	3884.796143	0.7763882875
Cortex_1	Lateral_ventricle	Cortex_1->Lateral_ventricle	22	3884.796143	4055.125	0.7809413671
Cortex_1	Lateral_ventricle	Cortex_1->Lateral_ventricle	23	4055.125	4225.454102	0.7888418436
Cortex_1	Pyramidal_layer	Cortex_1->Pyramidal_layer	0	137.5572662	307.8862915	0
Cortex_1	Pyramidal_layer	Cortex_1->Pyramidal_layer	1	307.8862915	478.215332	0
Cortex_1	Pyramidal_layer	Cortex_1->Pyramidal_layer	2	478.215332	648.5443726	0.03197496384
Cortex_1	Pyramidal_layer	Cortex_1->Pyramidal_layer	3	648.5443726	818.8734131	0.1429970562
Cortex_1	Pyramidal_layer	Cortex_1->Pyramidal_layer	4	818.8734131	989.2024536	0.5028451681
Cortex_1	Pyramidal_layer	Cortex_1->Pyramidal_layer	5	989.2024536	1159.531494	0.8594525456
Cortex_1	Pyramidal_layer	Cortex_1->Pyramidal_layer	6	1159.531494	1329.860474	1.240846276
Cortex_1	Pyramidal_layer	Cortex_1->Pyramidal_layer	7	1329.860474	1500.189575	1.470636725
Cortex_1	Pyramidal_layer	Cortex_1->Pyramidal_layer	8	1500.189575	1670.518555	1.600029945
Cortex_1	Pyramidal_layer	Cortex_1->Pyramidal_layer	9	1670.518555	1840.847656	1.694322586
Cortex_1	Pyramidal_layer	Cortex_1->Pyramidal_layer	10	1840.847656	2011.176636	1.756741285
Cortex_1	Pyramidal_layer	Cortex_1->Pyramidal_layer	11	2011.176636	2181.505615	1.78341186
Cortex_1	Pyramidal_layer	Cortex_1->Pyramidal_layer	12	2181.505615	2351.834717	1.803095698
Cortex_1	Pyramidal_layer	Cortex_1->Pyramidal_layer	13	2351.834717	2522.163818	1.786562443
Cortex_1	Pyramidal_layer	Cortex_1->Pyramidal_layer	14	2522.163818	2692.492676	1.765225768
Cortex_1	Pyramidal_layer	Cortex_1->Pyramidal_layer	15	2692.492676	2862.821777	1.731993675
Cortex_1	Pyramidal_layer	Cortex_1->Pyramidal_layer	16	2862.821777	3033.150879	1.711463094
Cortex_1	Pyramidal_layer	Cortex_1->Pyramidal_layer	17	3033.150879	3203.47998	1.685033798
Cortex_1	Pyramidal_layer	Cortex_1->Pyramidal_layer	18	3203.47998	3373.808838	1.658542633
Cortex_1	Pyramidal_layer	Cortex_1->Pyramidal_layer	19	3373.808838	3544.137939	1.626154423
Cortex_1	Pyramidal_layer	Cortex_1->Pyramidal_layer	20	3544.137939	3714.467041	1.596901178
Cortex_1	Pyramidal_layer	Cortex_1->Pyramidal_layer	21	3714.467041	3884.796143	1.564698696
Cortex_1	Pyramidal_layer	Cortex_1->Pyramidal_layer	22	3884.796143	4055.125	1.531224489
Cortex_1	Pyramidal_layer	Cortex_1->Pyramidal_layer	23	4055.125	4225.454102	1.493500948
Cortex_1	Pyramidal_layer_dentate_gyrus	Cortex_1->Pyramidal_layer_dentate_gyrus	0	137.5572662	307.8862915	0
Cortex_1	Pyramidal_layer_dentate_gyrus	Cortex_1->Pyramidal_layer_dentate_gyrus	1	307.8862915	478.215332	0
Cortex_1	Pyramidal_layer_dentate_gyrus	Cortex_1->Pyramidal_layer_dentate_gyrus	2	478.215332	648.5443726	0
Cortex_1	Pyramidal_layer_dentate_gyrus	Cortex_1->Pyramidal_layer_dentate_gyrus	3	648.5443726	818.8734131	0
Cortex_1	Pyramidal_layer_dentate_gyrus	Cortex_1->Pyramidal_layer_dentate_gyrus	4	818.8734131	989.2024536	0.004545258824
Cortex_1	Pyramidal_layer_dentate_gyrus	Cortex_1->Pyramidal_layer_dentate_gyrus	5	989.2024536	1159.531494	0.02866029553
Cortex_1	Pyramidal_layer_dentate_gyrus	Cortex_1->Pyramidal_layer_dentate_gyrus	6	1159.531494	1329.860474	0.1072943583
Cortex_1	Pyramidal_layer_dentate_gyrus	Cortex_1->Pyramidal_layer_dentate_gyrus	7	1329.860474	1500.189575	0.2012384832
Cortex_1	Pyramidal_layer_dentate_gyrus	Cortex_1->Pyramidal_layer_dentate_gyrus	8	1500.189575	1670.518555	0.3290203512
Cortex_1	Pyramidal_layer_dentate_gyrus	Cortex_1->Pyramidal_layer_dentate_gyrus	9	1670.518555	1840.847656	0.562486589
