rank	gene	moran_i	pval_norm	var_norm	pval_norm_fdr_bh
42	Mal	0.6797751977	0	0.0001307333572	0
43	Tmsb4x	0.6767193571	0	0.0001307333572	0
44	Cldn11	0.6741097364	0	0.0001307333572	0
45	Calb2	0.6726689227	0	0.0001307333572	0
46	Dbi	0.6723654348	0	0.0001307333572	0
47	Slc30a3	0.6679397776	0	0.0001307333572	0
48	Cplx2	0.6661090442	0	0.0001307333572	0
49	Hpca	0.6655287755	0	0.0001307333572	0
50	3110035E14Rik	0.6651322123	0	0.0001307333572	0
51	Synpo2	0.6634751601	0	0.0001307333572	0
52	Selenow	0.6620039857	0	0.0001307333572	0
53	Hap1	0.6609112226	0	0.0001307333572	0
54	Cbln1	0.6605678725	0	0.0001307333572	0
55	Shox2	0.6588925905	0	0.0001307333572	0
56	Zic1	0.6581660655	0	0.0001307333572	0
57	Snca	0.6575986328	0	0.0001307333572	0
58	Gpm6a	0.6556662365	0	0.0001307333572	0
59	Lamp5	0.6552233503	0	0.0001307333572	0
60	6330403K07Rik	0.6515693225	0	0.0001307333572	0
61	Zcchc12	0.6499389461	0	0.0001307333572	0
62	Resp18	0.649582258	0	0.0001307333572	0
63	Ramp3	0.6487352472	0	0.0001307333572	0
64	Mag	0.6486624105	0	0.0001307333572	0
65	Rtn1	0.646974306	0	0.0001307333572	0
66	Nsmf	0.6460741811	0	0.0001307333572	0
67	Calm2	0.6440579213	0	0.0001307333572	0
68	Qdpr	0.6440329439	0	0.0001307333572	0
69	Ttc9b	0.6401400922	0	0.0001307333572	0
70	Slc17a6	0.6392257252	0	0.0001307333572	0
71	Dlk1	0.6388318059	0	0.0001307333572	0
72	Ly6h	0.6381851709	0	0.0001307333572	0
73	AW551984	0.6359368198	0	0.0001307333572	0
74	Bcas1	0.6354865142	0	0.0001307333572	0
75	Sptbn2	0.6353879221	0	0.0001307333572	0
76	Nov	0.6339223874	0	0.0001307333572	0
77	Ngb	0.6337492602	0	0.0001307333572	0
78	Rps27a	0.630856417	0	0.0001307333572	0
79	Tbr1	0.6307605239	0	0.0001307333572	0
80	Arhgap36	0.6306378497	0	0.0001307333572	0
81	1110008P14Rik	0.629336635	0	0.0001307333572	0
82	Cryab	0.6278206101	0	0.0001307333572	0
83	Amotl1	0.6274572059	0	0.0001307333572	0
84	Spink8	0.6271915612	0	0.0001307333572	0
85	Mog	0.6247771275	0	0.0001307333572	0
86	Rasgrp1	0.6247050121	0	0.0001307333572	0
87	Arpp21	0.6240899165	0	0.0001307333572	0
88	Rps12	0.6235184537	0	0.0001307333572	0
89	Defb11	0.6216935005	0	0.0001307333572	0
90	Lypd1	0.6202449233	0	0.0001307333572	0
91	2900040C04Rik	0.6197809045	0	0.0001307333572	0
92	Uchl1	0.6186043443	0	0.0001307333572	0
93	Icam5	0.617096187	0	0.0001307333572	0
94	Cplx1	0.6142302492	0	0.0001307333572	0
95	Baiap2	0.6132323474	0	0.0001307333572	0
96	Sept4	0.612811785	0	0.0001307333572	0
97	Plekhg1	0.6126897183	0	0.0001307333572	0
98	Adora2a	0.6117254915	0	0.0001307333572	0
99	Pcsk1n	0.6112309648	0	0.0001307333572	0
100	Hpcal1	0.6101940413	0	0.0001307333572	0
101	Folr1	0.6077976391	0	0.0001307333572	0
102	Sv2b	0.607687822	0	0.0001307333572	0
103	Atp1a1	0.6076243911	0	0.0001307333572	0
104	Ntng1	0.6073738783	0	0.0001307333572	0
105	Ptgds	0.6061241514	0	0.0001307333572	0
106	1500015O10Rik	0.6059402305	0	0.0001307333572	0
107	Adcy1	0.6058481102	0	0.0001307333572	0
108	Irs4	0.6050587164	0	0.0001307333572	0
109	Ngef	0.6045402722	0	0.0001307333572	0
110	Ptk2b	0.6021035334	0	0.0001307333572	0
111	Prkcb	0.602099795	0	0.0001307333572	0
112	Pou4f1	0.6009848394	0	0.0001307333572	0
113	Gda	0.600484424	0	0.0001307333572	0
114	Rps8	0.6003070674	0	0.0001307333572	0
115	Fbxl16	0.5999055827	0	0.0001307333572	0
116	Penk	0.5997830437	0	0.0001307333572	0
117	Eef1a1	0.5997363557	0	0.0001307333572	0
118	Crym	0.5995246192	0	0.0001307333572	0
119	Dnm1	0.5990696662	0	0.0001307333572	0
120	Scn1b	0.5981138812	0	0.0001307333572	0
121	Ndrg4	0.5981133166	0	0.0001307333572	0
122	Rpl35a	0.5975815037	0	0.0001307333572	0
123	Cabp1	0.5974647753	0	0.0001307333572	0
124	Pdp1	0.5970352155	0	0.0001307333572	0
125	Rpl17	0.5963734283	0	0.0001307333572	0
126	Cartpt	0.592916885	0	0.0001307333572	0
127	Arf3	0.5914273203	0	0.0001307333572	0
128	Enpp2	0.5908874503	0	0.0001307333572	0
129	Tspan2	0.5891661506	0	0.0001307333572	0
130	Enc1	0.5879667992	0	0.0001307333572	0
131	Rora	0.5875279945	0	0.0001307333572	0
132	Calml4	0.5871977323	0	0.0001307333572	0
133	Slc6a11	0.5842957475	0	0.0001307333572	0
134	Clic6	0.5842409096	0	0.0001307333572	0
135	Lmo4	0.5835329593	0	0.0001307333572	0
136	Gfap	0.5820567453	0	0.0001307333572	0
137	Cbln4	0.5809655089	0	0.0001307333572	0
138	Tmsb10	0.5809018089	0	0.0001307333572	0
139	Tmem88b	0.5806677013	0	0.0001307333572	0
140	Prr32	0.5803311645	0	0.0001307333572	0
141	Trh	0.5801698583	0	0.0001307333572	0
142	Rprml	0.5791900058	0	0.0001307333572	0
143	Nap1l5	0.5768219892	0	0.0001307333572	0
144	Wfdc2	0.5760094889	0	0.0001307333572	0
145	Rpl9	0.5736957634	0	0.0001307333572	0
146	Ermn	0.5736200367	0	0.0001307333572	0
147	Syt1	0.5725024399	0	0.0001307333572	0
148	Gap43	0.5723036593	0	0.0001307333572	0
149	Vsnl1	0.5721240951	0	0.0001307333572	0
150	Dlgap1	0.571364312	0	0.0001307333572	0
151	Ncdn	0.5712534663	0	0.0001307333572	0
152	Ecel1	0.5703041621	0	0.0001307333572	0
153	Rims3	0.5701485624	0	0.0001307333572	0
154	Apod	0.5696786359	0	0.0001307333572	0
155	Ppp3r1	0.5685393836	0	0.0001307333572	0
156	Igfbp6	0.5674836421	0	0.0001307333572	0
157	Adarb1	0.5660416704	0	0.0001307333572	0
158	Slc16a8	0.5647966754	0	0.0001307333572	0
159	Ppp1r14a	0.5647029224	0	0.0001307333572	0
160	Bc1	0.5640586216	0	0.0001307333572	0
161	Kcnj13	0.5638859824	0	0.0001307333572	0
162	Zbtb18	0.5636982702	0	0.0001307333572	0
163	Rgs4	0.5632110974	0	0.0001307333572	0
164	Epop	0.5631119012	0	0.0001307333572	0
165	Otp	0.5612043933	0	0.0001307333572	0
166	Prkcg	0.5593965676	0	0.0001307333572	0
167	Tmem72	0.5591028174	0	0.0001307333572	0
168	Kcnh3	0.5588560219	0	0.0001307333572	0
169	Atp2b1	0.5582368441	0	0.0001307333572	0
170	Kcne2	0.557285981	0	0.0001307333572	0
171	Tmem132a	0.5540813266	0	0.0001307333572	0
172	Opalin	0.553515245	0	0.0001307333572	0
173	Pdlim2	0.5528302973	0	0.0001307333572	0
174	Gpr88	0.552754504	0	0.0001307333572	0
175	Slc4a5	0.5524868096	0	0.0001307333572	0
176	Ndn	0.5521509741	0	0.0001307333572	0
177	Nptx1	0.5521421209	0	0.0001307333572	0
178	Kalrn	0.550829114	0	0.0001307333572	0
179	Ywhah	0.550801185	0	0.0001307333572	0
180	Nrn1	0.5506516536	0	0.0001307333572	0
181	Syn2	0.5506308949	0	0.0001307333572	0
182	Ugt8a	0.5505691449	0	0.0001307333572	0
183	Pde1a	0.5488524237	0	0.0001307333572	0
184	Nrsn2	0.5486758878	0	0.0001307333572	0
185	Gsn	0.5477044253	0	0.0001307333572	0
186	Zwint	0.5472556246	0	0.0001307333572	0
187	Fa2h	0.5466321426	0	0.0001307333572	0
188	Dkk3	0.5454570566	0	0.0001307333572	0
189	Rps11	0.5450827377	0	0.0001307333572	0
190	Gm38534	0.544487559	0	0.0001307333572	0
191	Cnih2	0.5443993299	0	0.0001307333572	0
192	Ppp1r1a	0.5441101107	0	0.0001307333572	0
193	Ghrh	0.5437370233	0	0.0001307333572	0
194	Dgkz	0.5436588968	0	0.0001307333572	0
195	Csrp1	0.5433578705	0	0.0001307333572	0
196	Tac1	0.5431443653	0	0.0001307333572	0
197	Rpl14	0.5423718149	0	0.0001307333572	0
198	Pllp	0.5420800911	0	0.0001307333572	0
199	Crabp1	0.5411457865	0	0.0001307333572	0
200	Fam131a	0.5411396963	0	0.0001307333572	0
201	Myh7	0.5410297064	0	0.0001307333572	0
202	Lmo3	0.5397947705	0	0.0001307333572	0
203	2010300C02Rik	0.5394689653	0	0.0001307333572	0
204	Fxyd6	0.5388556766	0	0.0001307333572	0
205	Mpped1	0.5383210089	0	0.0001307333572	0
206	Aqp1	0.5383112614	0	0.0001307333572	0
207	Camkv	0.5380216439	0	0.0001307333572	0
208	Lbhd2	0.537912276	0	0.0001307333572	0
209	Lingo1	0.5374540837	0	0.0001307333572	0
210	Basp1	0.5354364822	0	0.0001307333572	0
211	H2-Q2	0.5354256856	0	0.0001307333572	0
212	Trbc2	0.5352681911	0	0.0001307333572	0
213	Ptpn3	0.5345850656	0	0.0001307333572	0
214	Rasgef1a	0.5332307842	0	0.0001307333572	0
215	Neurod6	0.5327605115	0	0.0001307333572	0
216	Gabrq	0.5319023388	0	0.0001307333572	0
217	Foxg1	0.5317095062	0	0.0001307333572	0
218	Six6	0.5312081362	0	0.0001307333572	0
219	Cx3cl1	0.5307451351	0	0.0001307333572	0
220	Ahi1	0.5301305846	0	0.0001307333572	0
221	Prr18	0.5298564283	0	0.0001307333572	0
222	Gatm	0.5296063047	0	0.0001307333572	0
223	Dclk1	0.5293609687	0	0.0001307333572	0
224	Six3	0.528867271	0	0.0001307333572	0
225	Rgs7bp	0.527914885	0	0.0001307333572	0
226	Thy1	0.5276764281	0	0.0001307333572	0
227	Rps9	0.526731365	0	0.0001307333572	0
228	Atp1b1	0.5249973267	0	0.0001307333572	0
229	Igsf1	0.523974245	0	0.0001307333572	0
230	Pld3	0.5239214375	0	0.0001307333572	0
231	Prkar1b	0.5236247766	0	0.0001307333572	0
232	Gpr37	0.5233484747	0	0.0001307333572	0
233	Arpp19	0.522412998	0	0.0001307333572	0
234	Cabp7	0.5216823357	0	0.0001307333572	0
235	F5	0.520906979	0	0.0001307333572	0
236	Gm32468	0.5209064452	0	0.0001307333572	0
237	Bsn	0.5204198615	0	0.0001307333572	0
238	Rps5	0.51945446	0	0.0001307333572	0
239	Gria2	0.5193797019	0	0.0001307333572	0
240	Rps3a1	0.5175086915	0	0.0001307333572	0
241	Itih3	0.5168001043	0	0.0001307333572	0
242	Clstn1	0.5150027634	0	0.0001307333572	0
243	Zfhx3	0.5149099442	0	0.0001307333572	0
244	Foxp2	0.5149018295	0	0.0001307333572	0
245	Rprm	0.5138837533	0	0.0001307333572	0
246	Ndrg1	0.5131471645	0	0.0001307333572	0
247	Tppp3	0.5130643091	0	0.0001307333572	0
248	Oxt	0.5119010474	0	0.0001307333572	0
249	Kcnj4	0.5112878589	0	0.0001307333572	0
250	Car2	0.5112798244	0	0.0001307333572	0
251	Cldn2	0.509820638	0	0.0001307333572	0
252	Bex2	0.5094359459	0	0.0001307333572	0
253	Steap1	0.5089399271	0	0.0001307333572	0
254	Tmem130	0.5087205447	0	0.0001307333572	0
255	Rpl22l1	0.5085456687	0	0.0001307333572	0
256	Rpl11	0.5080103324	0	0.0001307333572	0
257	Dynll1	0.5075018204	0	0.0001307333572	0
258	Kcnip2	0.5061059347	0	0.0001307333572	0
259	Nkx2-4	0.5045831577	0	0.0001307333572	0
260	Tmem212	0.5045032276	0	0.0001307333572	0
261	Patj	0.5025561272	0	0.0001307333572	0
262	Calb1	0.502500749	0	0.0001307333572	0
263	Bhlhe22	0.5014329847	0	0.0001307333572	0
264	Atp2a2	0.5009393313	0	0.0001307333572	0
265	Ppp1r1b	0.5007180763	0	0.0001307333572	0
266	Sst	0.5000633164	0	0.0001307333572	0
267	Sostdc1	0.4995190791	0	0.0001307333572	0
268	Rpl8	0.4984533463	0	0.0001307333572	0
269	Chrnb4	0.4979301838	0	0.0001307333572	0
270	Rax	0.4976121782	0	0.0001307333572	0
271	Syt5	0.4971094314	0	0.0001307333572	0
272	Syp	0.4955442155	0	0.0001307333572	0
273	Ipcef1	0.4947619385	0	0.0001307333572	0
274	Atp2b4	0.4943033282	0	0.0001307333572	0
275	Cpne6	0.4941127293	0	0.0001307333572	0
276	Gm11549	0.4937877785	0	0.0001307333572	0
277	Wfs1	0.4932531264	0	0.0001307333572	0
278	Fxyd7	0.493214532	0	0.0001307333572	0
279	Rab3a	0.4909552173	0	0.0001307333572	0
280	Rab37	0.4898108406	0	0.0001307333572	0
281	Frmpd1os	0.4896926496	0	0.0001307333572	0
282	Kl	0.4895961478	0	0.0001307333572	0
283	Cyp26b1	0.4891407926	0	0.0001307333572	0
284	Lbp	0.4885489757	0	0.0001307333572	0
285	Rpl10	0.4880106312	0	0.0001307333572	0
286	Snrpn	0.4878512989	0	0.0001307333572	0
287	Cacng3	0.4877206889	0	0.0001307333572	0
288	Tubb2a	0.4874158727	0	0.0001307333572	0
289	Grb14	0.4872781914	0	0.0001307333572	0
290	Dkkl1	0.4868698567	0	0.0001307333572	0
291	Gnas	0.4865410585	0	0.0001307333572	0
292	Pvalb	0.4860691902	0	0.0001307333572	0
293	Vamp1	0.4854435329	0	0.0001307333572	0
294	Neurl1a	0.4851870304	0	0.0001307333572	0
295	Mapk1	0.483987454	0	0.0001307333572	0
296	Gabrd	0.4838918461	0	0.0001307333572	0
297	Chrm1	0.4837749961	0	0.0001307333572	0
298	Ncald	0.4835546415	0	0.0001307333572	0
299	Ptpn4	0.4832916588	0	0.0001307333572	0
300	Krt18	0.4827969159	0	0.0001307333572	0
301	Egr3	0.4827471215	0	0.0001307333572	0
302	Gaa	0.4825058422	0	0.0001307333572	0
303	Bok	0.4821941315	0	0.0001307333572	0
304	Wdr6	0.48185442	0	0.0001307333572	0
305	Syn1	0.4810838311	0	0.0001307333572	0
306	Aldoa	0.4796021839	0	0.0001307333572	0
307	Rps6	0.4793321288	0	0.0001307333572	0
308	Gabre	0.4772603784	0	0.0001307333572	0
309	Neurod2	0.4768909965	0	0.0001307333572	0
310	Scg2	0.4760595307	0	0.0001307333572	0
311	Olig1	0.4754864739	0	0.0001307333572	0
312	Wipf3	0.4750921657	0	0.0001307333572	0
313	Stmn2	0.4747882846	0	0.0001307333572	0
314	Rhog	0.4747364003	0	0.0001307333572	0
315	Slc24a2	0.4744175457	0	0.0001307333572	0
316	Plekhh1	0.474294625	0	0.0001307333572	0
317	Synpr	0.4741621412	0	0.0001307333572	0
318	Aspa	0.4738835804	0	0.0001307333572	0
319	Evi2a	0.4736334155	0	0.0001307333572	0
320	Stmn3	0.4732501573	0	0.0001307333572	0
321	Cit	0.4705749921	0	0.0001307333572	0
322	Rasgrf2	0.4699140674	0	0.0001307333572	0
323	Lpar1	0.4692361691	0	0.0001307333572	0
324	Gabbr2	0.468539452	0	0.0001307333572	0
325	C1qtnf4	0.4680932463	0	0.0001307333572	0
326	Wasf1	0.466520824	0	0.0001307333572	0
327	Calcr	0.4663043326	0	0.0001307333572	0
328	Adgrb2	0.4656472315	0	0.0001307333572	0
329	Fibcd1	0.4653755678	0	0.0001307333572	0
330	Ywhaz	0.4652791345	0	0.0001307333572	0
331	Hs3st2	0.4644109725	0	0.0001307333572	0
332	Col8a2	0.4643874168	0	0.0001307333572	0
333	Myl4	0.4640463021	0	0.0001307333572	0
334	Necab2	0.4640158656	0	0.0001307333572	0
335	Rgs16	0.4639374562	0	0.0001307333572	0
336	Avp	0.4637275024	0	0.0001307333572	0
337	Gjb1	0.4624972527	0	0.0001307333572	0
338	Cyfip2	0.4621036518	0	0.0001307333572	0
339	Mmp17	0.4612518815	0	0.0001307333572	0
340	Ccdc136	0.4611209871	0	0.0001307333572	0
341	Tmem91	0.4607991791	0	0.0001307333572	0
342	Rps15a	0.4604084747	0	0.0001307333572	0
343	Osbpl1a	0.4600424974	0	0.0001307333572	0
344	Dynlrb2	0.4600227005	0	0.0001307333572	0
345	Rpl3	0.4596741361	0	0.0001307333572	0
346	Fam183b	0.4593592756	0	0.0001307333572	0
347	Otx2	0.4585812173	0	0.0001307333572	0
348	Nkx6-2	0.4579547155	0	0.0001307333572	0
349	Ogfrl1	0.4579452322	0	0.0001307333572	0
350	Caly	0.4571056429	0	0.0001307333572	0
351	Hlf	0.4566745025	0	0.0001307333572	0
352	Vat1l	0.4559709596	0	0.0001307333572	0
353	Gabra1	0.4552655486	0	0.0001307333572	0
354	Mmd	0.4552565617	0	0.0001307333572	0
355	Cd59a	0.4548065503	0	0.0001307333572	0
356	Tagln3	0.4540204489	0	0.0001307333572	0
357	Ccdc153	0.4534538011	0	0.0001307333572	0
358	Plcb4	0.453073355	0	0.0001307333572	0
359	Gng3	0.4526268913	0	0.0001307333572	0
360	Cmtm5	0.4523237225	0	0.0001307333572	0
361	Ak5	0.4519646068	0	0.0001307333572	0
362	Itm2c	0.451841756	0	0.0001307333572	0
363	Tuba4a	0.4518104534	0	0.0001307333572	0
364	Npy	0.4515605983	0	0.0001307333572	0
365	Fndc3c1	0.451439397	0	0.0001307333572	0
366	Atp1a3	0.4513187131	0	0.0001307333572	0
367	Stxbp1	0.450799837	0	0.0001307333572	0
368	Cpne9	0.4506636785	0	0.0001307333572	0
369	Lrrc10b	0.4485769613	0	0.0001307333572	0
370	Plxnd1	0.4483575888	0	0.0001307333572	0
371	Nsf	0.4482986709	0	0.0001307333572	0
372	Serpini1	0.4481659259	0	0.0001307333572	0
373	Nts	0.4476448204	0	0.0001307333572	0
374	Efnb3	0.4474796753	0	0.0001307333572	0
375	Chgb	0.4474700133	0	0.0001307333572	0
376	Pnck	0.4473404753	0	0.0001307333572	0
377	Nr5a1	0.4470604712	0	0.0001307333572	0
378	Ephx4	0.447003156	0	0.0001307333572	0
379	Nr4a2	0.4454143562	0	0.0001307333572	0
380	Drc7	0.4452951961	0	0.0001307333572	0
381	Ttyh2	0.4442744714	0	0.0001307333572	0
382	Tyrp1	0.4436859593	0	0.0001307333572	0
383	Pacs2	0.4432504661	0	0.0001307333572	0
384	Cacnb3	0.4430084925	0	0.0001307333572	0
385	Diras2	0.4423424887	0	0.0001307333572	0
386	Pgrmc1	0.4420912953	0	0.0001307333572	0
387	Asb4	0.4417590633	0	0.0001307333572	0
388	Gapdh	0.4410596756	0	0.0001307333572	0
389	Kcnab2	0.4409855629	0	0.0001307333572	0
390	Wdr86	0.440715134	0	0.0001307333572	0
391	C1ql2	0.4405800172	0	0.0001307333572	0
392	Mia	0.4404051532	0	0.0001307333572	0
393	Ins2	0.4400740778	0	0.0001307333572	0
394	Pcsk2	0.4398690721	0	0.0001307333572	0
395	Nefh	0.4398268311	0	0.0001307333572	0
396	Car12	0.4392793395	0	0.0001307333572	0
397	Atp6v1g2	0.4390725196	0	0.0001307333572	0
398	Phldb1	0.4383031595	0	0.0001307333572	0
399	Camk4	0.4382924807	0	0.0001307333572	0
400	Cfap126	0.4382327351	0	0.0001307333572	0
401	Camk2b	0.4379512021	0	0.0001307333572	0
402	Cers2	0.4368929006	0	0.0001307333572	0
403	Prkce	0.4367474288	0	0.0001307333572	0
404	Slc44a1	0.4359765764	0	0.0001307333572	0
405	Itpr1	0.4359217338	0	0.0001307333572	0
406	Syt7	0.4358817014	0	0.0001307333572	0
407	Nefl	0.4357620274	0	0.0001307333572	0
408	Gjc2	0.4350668894	0	0.0001307333572	0
409	Hcn2	0.4350399608	0	0.0001307333572	0
410	Aldh1a1	0.4345680115	0	0.0001307333572	0
411	Atp1a2	0.4339926284	0	0.0001307333572	0
412	Ppp1r17	0.4339048606	0	0.0001307333572	0
413	Gna12	0.4338956643	0	0.0001307333572	0
414	Nptn	0.4338880827	0	0.0001307333572	0
415	Trnp1	0.4337007277	0	0.0001307333572	0
416	Rasd1	0.4332732171	0	0.0001307333572	0
417	Gabra4	0.4323430559	0	0.0001307333572	0
418	Myrf	0.4322829962	0	0.0001307333572	0
419	AI593442	0.4322245875	0	0.0001307333572	0
420	Tac2	0.431715868	0	0.0001307333572	0
421	Bex1	0.4315262059	0	0.0001307333572	0
422	Desi1	0.4314446997	0	0.0001307333572	0
423	Plk2	0.4311953467	0	0.0001307333572	0
424	Nkx2-1	0.4307810233	0	0.0001307333572	0
425	Fam163b	0.4305365986	0	0.0001307333572	0
426	Gpr101	0.4303433269	0	0.0001307333572	0
427	Pgm2l1	0.4301264809	0	0.0001307333572	0
428	Tmem63a	0.4300397667	0	0.0001307333572	0
429	Plppr4	0.4298216218	0	0.0001307333572	0
430	Gpr50	0.4298044721	0	0.0001307333572	0
431	Abca4	0.4296211534	0	0.0001307333572	0
432	Satb2	0.4291620617	0	0.0001307333572	0
433	Rab3c	0.4290829138	0	0.0001307333572	0
434	Pifo	0.4287939694	0	0.0001307333572	0
435	Arhgap33	0.4285539407	0	0.0001307333572	0
436	Phf24	0.4284169888	0	0.0001307333572	0
437	Thra	0.4283777019	0	0.0001307333572	0
438	Nexn	0.4267550649	0	0.0001307333572	0
439	Nefm	0.4266542293	0	0.0001307333572	0
440	Ccl27a	0.4265795226	0	0.0001307333572	0
441	Rtn4r	0.4261913977	0	0.0001307333572	0
442	Grm1	0.4251173483	0	0.0001307333572	0
443	Vstm2l	0.4249844423	0	0.0001307333572	0
444	Pcp4l1	0.4243983009	0	0.0001307333572	0
445	Cox8b	0.4239849059	0	0.0001307333572	0
446	Krt12	0.4235545621	0	0.0001307333572	0
447	Nrip3	0.4233417051	0	0.0001307333572	0
448	Gjc3	0.4229017267	0	0.0001307333572	0
449	Chst1	0.4226780151	0	0.0001307333572	0
450	Cga	0.4225393133	0	0.0001307333572	0
451	Eno2	0.4224667821	0	0.0001307333572	0
452	Tesc	0.4220263354	0	0.0001307333572	0
453	Kcnv1	0.4215369244	0	0.0001307333572	0
454	Zdhhc22	0.4211057873	0	0.0001307333572	0
455	Ldha	0.4210393305	0	0.0001307333572	0
456	Gprasp2	0.419680771	0	0.0001307333572	0
457	Nr2f2	0.4188741892	0	0.0001307333572	0
458	Sowaha	0.4187271751	0	0.0001307333572	0
459	Prkacb	0.4185297295	0	0.0001307333572	0
460	Plcb1	0.4179704452	0	0.0001307333572	0
461	Camkk2	0.4179050819	0	0.0001307333572	0
462	Trim54	0.4172144877	0	0.0001307333572	0
463	Satb1	0.4170222611	0	0.0001307333572	0
464	Nsg2	0.4163860765	0	0.0001307333572	0
465	Sox10	0.4157974321	0	0.0001307333572	0
466	Eps8l2	0.4154883686	0	0.0001307333572	0
467	Spint2	0.415270258	0	0.0001307333572	0
468	Gltp	0.4151659139	0	0.0001307333572	0
469	Litaf	0.4149937066	0	0.0001307333572	0
470	Abhd12b	0.4140014317	0	0.0001307333572	0
471	Peg3	0.4132787358	0	0.0001307333572	0
472	Pla2g16	0.4131114555	0	0.0001307333572	0
473	Cnksr2	0.4129936805	0	0.0001307333572	0
474	Ptprn	0.4120101404	0	0.0001307333572	0
475	Gpr151	0.4119599711	0	0.0001307333572	0
476	Anln	0.4113488452	0	0.0001307333572	0
477	Crip2	0.4106331375	0	0.0001307333572	0
478	Slc12a2	0.4105083958	0	0.0001307333572	0
479	Cnih3	0.4104479571	0	0.0001307333572	0
480	Gm19935	0.4099942284	0	0.0001307333572	0
481	Plcxd2	0.4099582643	0	0.0001307333572	0
482	Fzd5	0.4094783832	0	0.0001307333572	0
483	Cd9	0.4093379956	0	0.0001307333572	0
484	Rps4x	0.4071510039	0	0.0001307333572	0
485	Pantr1	0.406936013	0	0.0001307333572	0
486	Tmbim1	0.4062171245	0	0.0001307333572	0
487	Rtl8a	0.4060794255	0	0.0001307333572	0
488	Cd82	0.4059297466	0	0.0001307333572	0
489	Rpl6	0.4057929283	0	0.0001307333572	0
490	Lct	0.405572491	0	0.0001307333572	0
491	Tmem255a	0.4050707632	0	0.0001307333572	0
492	Syt4	0.4044122473	0	0.0001307333572	0
493	Clic4	0.4043871239	0	0.0001307333572	0
494	Bsx	0.404105156	0	0.0001307333572	0
495	Cdh26	0.4039630881	0	0.0001307333572	0
496	Lypd6b	0.4038614692	0	0.0001307333572	0
497	Klk8	0.4025404248	0	0.0001307333572	0
498	Negr1	0.402345159	0	0.0001307333572	0
499	Htr2c	0.4022532433	0	0.0001307333572	0
500	Pitx2	0.4021942081	0	0.0001307333572	0
501	Bcl11a	0.4016980979	0	0.0001307333572	0
502	Igfbp4	0.4001954308	0	0.0001307333572	0
503	Ndufa4	0.4001787473	0	0.0001307333572	0
504	Pcbd1	0.3998333444	0	0.0001307333572	0
505	A730017C20Rik	0.3992958135	0	0.0001307333572	0
506	Gng11	0.3991526458	0	0.0001307333572	0
507	Tuba1c	0.3989929682	0	0.0001307333572	0
508	Gbx2	0.3989271673	0	0.0001307333572	0
509	Vat1	0.3980417509	0	0.0001307333572	0
510	Khdrbs3	0.3971817792	0	0.0001307333572	0
511	Tmem178	0.3970783982	0	0.0001307333572	0
512	Vav3	0.3964408271	0	0.0001307333572	0
513	Tmem59l	0.3962462074	0	0.0001307333572	0
514	Tiam1	0.3962106712	0	0.0001307333572	0
515	Ppia	0.3958006119	0	0.0001307333572	0
516	Scg5	0.3954637733	0	0.0001307333572	0
517	Apoc1	0.3951795387	0	0.0001307333572	0
518	Cbln2	0.3948156231	0	0.0001307333572	0
